# Verified stock disassembly; regenerate with tools/sonic_disassembly.py
003572,LevSel_ChgSnd,
003586,LevSel_ChgLine,
0037A2,GM_Level,
0037B6,Level_NoMusicFade,
0037FC,Level_NoPLC,
003802,Level_ClrRam,
0038AE,Level_LoadPal,
0038D2,Level_WaterPal,
0038E2,Level_GetBgm,
0038F8,Level_BgmNotLZ4,
003902,Level_PlayBgm,
003916,Level_TtlCardLoop,
003946,Level_SkipTtlCard,
003982,Level_ChkDebug,
003996,Level_ChkWater,
0039C2,Level_LoadObj,
0039E8,Level_SkipClr,
003A4E,Level_Demo,
003A78,Level_ChkWaterPal,
003A8C,Level_WtrNotSbz,
003A90,Level_Delay,
003A94,Level_DelayLoop,
003AC4,Level_ClrCardArt,
003ADC,Level_StartGame,
003AE2,Level_MainLoop,
003B10,Level_DoScroll,
003B14,Level_SkipScroll,
003B50,Level_ChkDemo,
003B6E,Level_EndDemo,
003B88,Level_FadeDemo,
003B98,Level_FDLoop,
003BC8,Level_FDLoop_NoDim,
003BD0,LZWaterFeatures,
003C32,LZDynamicWater,
003C64,DynWater_LZ1,
003CF6,DynWater_LZ2,
003D18,DynWater_LZ3,
003E1C,DynWater_SBZ3,
003E32,LZWindTunnels,
003F34,LZWaterSlides,
003F7C,LZSlide_Move,
003FD0,MoveSonicInDemo,
003FD8,DemoRecorder,
004010,MDemo_On,
0040F0,ColIndexLoad,
004118,OscillateNumInit,
00416E,OscillateNumDo,
004206,SynchroAnimate,Sync1
00421C,Sync2,
004232,Sync3,
004250,Sync4,
004272,SyncEnd,
004274,SignpostArtLoad,
0045DC,GM_Special,
004718,SS_NoDebug,
00472A,SS_MainLoop,
004766,SS_ChkEnd,
00478A,SS_Finish,
00479A,SS_FinLoop,
0047D4,SS_FinLoop_NoBrighten,
00485C,SS_NormalExit,
004894,SS_ToSegaScreen,
00489C,SS_BGLoad,
004962,PalCycle_SS,
004BE4,SS_BGAnimate,
004CE0,GM_Continue,
004DC4,Cont_MainLoop,
004DF2,Cont_NoCountdown,
004E1E,Cont_GotoLevel,
004E42,ContScrItem,
004E58,CSI_Main,
004E88,CSI_Display,
004EAC,CSI_MakeMiniSonic,
004EC4,CSI_MoreThan1,
004ED0,CSI_FewerThan16,
004EEA,CSI_Even,
004F20,CSI_ChkDel,
004F40,CSI_Animate,
004F50,CSI_Display2,
004F56,CSI_Delete,
004F5C,ContSonic,
004F78,CSon_Main,
004FAE,CSon_ChkLand,
004FD4,CSon_ShowFall,
004FE6,CSon_Animate,
004FF8,CSon_GetUp,
005020,CSon_Run,
005030,CSon_AddInertia,
005036,CSon_ShowRun,
0050E6,GM_Ending,
00518E,End_LoadData,
0051E6,End_LoadSonic,
005284,End_MainLoop,
0052DA,End_ChkEmerald,
0052F0,End_AllEmlds,
005334,End_SlowFade,
005370,End_MoveSonic,
005390,End_MoveSon2,
0053C8,End_MoveSon3,
0053E0,End_MoveSonExit,
0053E2,EndSonic,
00540A,ESon_Main,
005420,ESon_Main2,
00544E,ESon_MakeEmeralds,
005464,ESon_Wait,
005466,ESon_LookUp,
005482,ESon_ClrObjRam,
005490,ESon_ClrLoop,
0054AC,ESon_Wait2,
0054AE,ESon_MakeLogo,
0054CA,ESon_Wait3,
0054CC,ESon_Animate,
0054D8,ESon_Leap,
005514,ESon_Wait4,
00553C,EndChaos,
005554,ECha_Main,
005560,ECha_CreateEms,
005574,ECha_LoadLoop,
0055BC,ECha_Move,
0055EC,ECha_Expand,
0055FA,ECha_Rotate,
005608,ECha_Rise,
005614,ECha_End,
005616,EndSTH,
00562A,ESth_Main,
005654,ESth_Move,
005666,ESth_Delay,
005670,ESth_GotoCredits,
00567C,ESth_Wait,
0057C4,GM_Credits,
005862,Cred_SkipObjGfx,
005872,Cred_WaitLoop,
005898,EndingDemoLoad,
0058F0,EndDemo_LampLoad,
0058F6,EndDemo_Exit,
00592C,EndDemo_LampVar_End,TryAgainEnd
0059AA,TryAg_MainLoop,
0059DA,TryAg_Exit,
0059E2,EndEggman,
0059FE,EEgg_Main,
005A4E,EEgg_Animate,
005A5A,EEgg_Juggle,
005A8E,EEgg_Wait,
005AC2,TryChaos,
005ADA,TCha_Main,
005B66,TCha_Move,
005EBE,LevelSizeLoad,
00608C,LevSz_ChkLamp,
0060A2,LevSz_StartLoc,
0060C0,LevSz_SonicPos,
0060D0,SetScreen,LevSz_SkipStartPos
0060D8,SetScr_WithinLeft,
0060E2,SetScr_WithinRight,
0060EE,SetScr_WithinTop,
0060F8,SetScr_WithinBottom,
00619E,LevSz_LoadScrollBlockSize,
0061EC,BgScrollSpeed,
006224,BgScroll_GHZ,
006228,BgScroll_LZ,
006230,BgScroll_MZ,
006232,BgScroll_SLZ,
00623E,BgScroll_SYZ,
006252,BgScroll_SBZ,
00625E,BgScroll_End,
006286,DeformLayers,
0062EC,Deform_GHZ,
006396,Deform_LZ,
0063D6,Deform_MZ,
00642E,Deform_SLZ,
0064A8,Deform_SLZ_2,
006506,Deform_SYZ,
006544,Deform_SBZ,
00657E,ScrollHoriz,
0065AA,SH_Forward,
0065B2,MoveScreenHoriz,
0065CC,SH_AheadOfMid,
0065D6,SH_Ahead16,
0065E4,SH_SetScreen,
0065F6,SH_BehindMid,
006616,ScrollVertical,
00662A,SV_NotRolling,
006768,ScrollBlock1,
0067D2,ScrollBlock2,
006814,ScrollBlock3,
006844,ScrollBlock4,
006886,LoadTilesAsYouMove_BGOnly,
0068B2,LoadTilesAsYouMove,
006954,DrawBGScrollBlock1,
0069F4,DrawBGScrollBlock2,
006A82,DrawBGScrollBlock_PlaneZ,
006AD8,DrawBlocks_LR,
006ADA,DrawBlocks_LR_2,
006B04,DrawBlocks_TB,
006B06,DrawBlocks_TB_2,
006B32,DrawBlock,
006B4E,DrawFlipX,
006B6E,DrawFlipY,
006B90,DrawFlipXY,
006BD6,GetBlockData,
006C20,Calc_VRAM_Pos,
006C3C,Calc_VRAM_Pos_PlaneZ,
006C58,LoadTilesFromStart,
006C7E,DrawChunks,
006CA6,LevelDataLoad,
006D12,LevelLayoutLoad,
006D1C,LevLoad_ClrRam,
006D32,LevelLayoutLoad2,
006D58,LevLoad_NumRows,
006D5C,LevLoad_Row,
006D6C,DynamicLevelEvents,
006DAA,DLE_NoChg,
006DDE,DLE_GHZ,
006DF4,DLE_GHZ1,
006E0A,DLE_GHZ2,
006E3C,DLE_GHZ3,
006E50,DLE_GHZ3main,
006EA4,DLE_GHZ3boss,
006EEA,DLE_GHZ3end,
006EF2,DLE_LZ,
006F0A,DLE_LZ12,
006F0C,DLE_LZ3,
006F66,DLE_SBZ3,
006F8E,DLE_MZ,
006FA4,DLE_MZ1,
006FBA,DLE_MZ1_0,
006FEA,DLE_MZ1_2,
00702E,DLE_MZ1_4,
007050,DLE_MZ1_6,
007074,DLE_MZ2,
00708A,DLE_MZ3,
00709C,DLE_MZ3boss,
0070EA,DLE_MZ3end,
0070F2,DLE_SLZ,
007108,DLE_SLZ12,
00710A,DLE_SLZ3,
00711E,DLE_SLZ3main,
007132,DLE_SLZ3boss,
00715E,DLE_SLZ3end,
007168,DLE_SYZ,
00717E,DLE_SYZ1,
007180,DLE_SYZ2,
0071A4,DLE_SYZ3,
0071B8,DLE_SYZ3main,
0071D0,DLE_SYZ3boss,
007202,DLE_SYZ3end,
00720A,DLE_SBZ,
007220,DLE_SBZ1,
007244,DLE_SBZ2,
00725A,DLE_SBZ2main,
00727C,DLE_SBZ2boss,
00729A,DLE_SBZ2boss2,
0072B8,DLE_SBZ2end,
0072CA,DLE_FZ,
0072E2,DLE_FZmain,
0072F6,DLE_FZboss,
007314,DLE_FZend,
007322,DLE_FZwait,
007324,DLE_FZend2,
007326,DLE_Ending,
007328,Bridge,
007342,Bri_Main,
