# Verified stock disassembly; regenerate with tools/sonic_disassembly.py
00E8F0,Brick_Type04,
00E90C,SpinningLight,
00E91E,Light_Main,
00E942,Light_Animate,
00E9D0,Bumper,
00E9E2,Bump_Main,
00EA0C,Bump_Hit,
00EB28,Signpost,
00EB6E,Sign_Main,
00EB92,Sign_Touch,
00EBBC,Sign_Spin,
00EC54,Sign_SonicRun,
00EC8A,GotThroughAct,
00ED1A,Sign_Exit,
00ED84,GeyserMaker,
00EDA2,GMake_Main,
00EDCC,GMake_Wait,
00EDF2,GMake_MakeLava,
00EE3E,GMake_ChkType,
00EE4A,GMake_Display,
00EE5A,GMake_Delete,
00EE70,LavaGeyser,
00EE8E,Geyser_Main,
00EF7A,Geyser_Action,
00EF98,Geyser_ChkDel,
00EFBC,Geyser_Type00,
00EFDC,Geyser_Type01,
00EFFC,Geyser_Middle,
00F05A,Geyser_Delete,
00F05E,LavaWall,
00F076,LWall_Main,
00F0D6,LWall_Action,
00F112,LWall_Solid,
00F198,LWall_Move,
00F1B4,LWall_Delete,
00F1B8,LavaTag,
00F1CE,LTag_Main,
00F1EC,LTag_ChkDel,
00F61A,MotoBug,
00F630,Moto_Main,
00F694,Moto_Action,
00F6AC,RememberState,
00F770,Moto_Animate,
00F77E,Moto_Delete,
00F806,Obj4F,
00F808,ChkHitLeftRightWall,
00F83A,Yadrin,
00F84C,Yad_Main,
00F8A0,Yad_Action,
00F8C0,Yad_Move,
00F8E4,Yad_FixToFloor,
00F904,Yad_Pause,
00F9D6,SolidObject,
00FA1C,SolidObject71,
00FA62,SolidObject2F,
00FAC8,Solid_ChkEnter,
00FB5E,Solid_Right,
00FB64,Solid_Left,
00FB70,Solid_Centre,
00FB8C,Solid_SideAir,
00FB92,Solid_Ignore,
00FBA0,Solid_NotPushing,
00FBAC,Solid_Debug,
00FBB0,Solid_TopBottom,
00FBBC,Solid_Below,
00FBD2,Solid_TopBtmAir,
00FBD6,Solid_Squash,
00FBEE,Solid_Landed,
00FC28,Solid_Miss,
00FC2C,Solid_ResetFloor,
00FC92,SmashBlock,
00FCAA,Smab_Main,
00FCD4,Smab_Solid,
00FDA4,Smab_Points,
00FDF8,MovingBlock,
00FE16,MBlock_Main,
00FE96,MBlock_Platform,
00FEA8,MBlock_StandOn,
00FEC4,MBlock_ChkDel,
00FEE6,MBlock_Move,
00FF10,MBlock_Type00,
00FF12,MBlock_Type01,
00FF32,MBlock_Type02,
00FF3E,MBlock_02_Wait,
00FF40,MBlock_Type03,
00FF5A,MBlock_03_End,
00FF60,MBlock_Type05,
00FF7A,MBlock_05_End,
00FF80,MBlock_Type06,
00FFA2,MBlock_Type07,
00FFAC,MBlock_07_ChkDel,
00FFCE,MBlock_Type08,
00FFEE,MBlock_Type0A,
010022,MBlock_0A_Wait,
010030,MBlock_0A_Back,
010040,MBlock_0A_Reset,
0100A8,Basaran,
0100BA,Bas_Main,
0100EA,Bas_Action,
010286,FloatingBlock,
0102A8,FBlock_Main,
01037C,FBlock_Action,
010782,SpikeBall,
010796,SBall_Main,
0108B6,SBall_Move,
010952,SBall_Display,
010976,BigSpikeBall,
010988,BBall_Main,
0109E2,BBall_Move,
010AD2,Elevator,
010B2A,Elev_Main,
010BA2,Elev_Platform,
010BB2,Elev_Action,
010BD6,Elev_Types,
010CB2,Elev_Move,
010CFC,Elev_MakeMulti,
010D5A,CirclingPlatform,
010D90,Circ_Main,
010DC0,Circ_Platform,
010DD0,Circ_Action,
010DEC,Circ_Types,
010E90,Staircase,
010EC6,Stair_Main,
010F46,Stair_Move,
010F5A,Stair_Solid,
010FAA,Stair_Type00,
010FCC,Stair_Type02,
011010,Stair_Type01,
011044,Pylon,
011056,Pyl_Main,
01106E,Pyl_Display,
0110C6,WaterSurface,
0110D8,Surf_Main,
0110FC,Surf_Action,
011206,Pole,
01121A,Pole_Main,
011252,Pole_Action,
01131E,Pole_Display,
011346,FlapDoor,
011358,Flap_Main,
011384,Flap_OpenClose,
01141A,Invisibarrier,
01142C,Invis_Main,
011464,Invis_Solid,
0114FC,Fan,
01150E,Fan_Main,
011532,Fan_Delay,
01163C,Seesaw,
01167C,See_Main,
0116E6,See_Slope,
011718,See_Slope2,
01174A,See_ChkSide,
011766,See_ChgFrame,
011792,See_Spikeball,
0117E8,See_MoveSpike,
01187C,See_SpikeFall,
0118D8,See_Spring,
0119F6,Bomb,
011A0C,Bom_Main,
011A48,Bom_Action,
011B60,Bom_Display,
011BD8,Bom_End,
011CCE,Orbinaut,
011CE6,Orb_Main,
011DBE,Orb_ChkSonic,
011DFC,Orb_Display,
011E00,Orb_ChkDel,
011E56,Orb_Delete,
011E5A,Orb_MoveOrb,
011EC6,Orb_ChkDel2,
011F04,Harpoon,
011F18,Harp_Main,
011F48,Harp_Move,
011F68,Harp_Wait,
011FD4,LabyrinthBlock,
011FEE,LBlk_Main,
01204C,LBlk_Action,
0121E8,Gargoyle,
01220A,Gar_Main,
012248,Gar_MakeFire,
012284,Gar_FireBall,
0122E0,Gar_AniFire,
01233C,LabyrinthConvey,
012366,LCon_Display,
01239A,LCon_Main,
012490,LCon_Loop,
0124B2,LCon_Platform,
0124C2,LCon_OnPlatform,
0124DE,LCon_Wheel,
012570,LCon_ChangeDir,
0126A4,Bubble,
0126BE,Bub_Main,
01271C,Bub_Animate,
012736,Bub_ChkWater,
0127F0,Bub_Display,
01280E,Bub_Delete,
012812,Bub_BblMaker,
01295E,Bub_ChkSonic,
012A9E,Waterfall,
012AB6,WFall_Main,
012B18,WFall_Animate,
012B24,WFall_ChkDel,
012B28,WFall_OnWater,
012B36,WFall_Priority,
012BD8,SonicPlayer,
012BE4,Sonic_Normal,
012BFC,Sonic_Main,
012C3E,Sonic_Control,
012CCE,Sonic_Display,
012D5E,Sonic_RecordPosition,
012D78,Sonic_Water,
012E18,Sonic_MdNormal,
012E3C,Sonic_MdJump,
012E66,Sonic_MdRoll,
012E86,Sonic_MdJump2,
012EB0,Sonic_Move,
012F78,Sonic_LookUp,
012F94,Sonic_Duck,
012FB0,Sonic_ResetScr,
012FC2,Sonic_CheckDpadLetGo,
012FEE,Sonic_AngleSpeed,
01300C,Sonic_WallSpeedAdjust,
01307E,Sonic_MoveLeft,
0130EA,Sonic_MoveRight,
013150,Sonic_RollSpeed,
0131AA,Sonic_RollSlowdownDone,
0131CC,Sonic_AngledRollSpeed,
013202,Sonic_RollLeft,
013226,Sonic_RollRight,
013248,Sonic_JumpDirection,
01328E,Sonic_JumpMove,
013292,Sonic_RollJumpLock,
0132A4,Sonic_AirDrag,
0132D4,Sonic_SquashUnused,
013304,Sonic_LevelBound,
013384,Sonic_Roll,
0133AC,Sonic_ChkRoll,
0133EA,Sonic_Jump,
013498,Sonic_JumpHeight,
0134D4,Sonic_SlopeResistWalk,
01350A,Sonic_SlopeResistRoll,
013546,Sonic_SlopeRepel,
013588,Sonic_JumpAngle,
0135A4,Sonic_Floor,
0135DE,Sonic_FloorDown,
013680,Sonic_FloorLeft,
0136E2,Sonic_FloorUp,
01373E,Sonic_FloorRight,
0137A0,Sonic_ResetOnFloor,
0137F2,Sonic_Hurt,
013826,Sonic_HurtStop,
013862,Sonic_Death,
01387E,Sonic_HandleDeath,
013902,Sonic_ResetLevel,
013916,Sonic_Loops,
0139C4,Sonic_Animate,
013C3E,Sonic_LoadGfx,
013C98,DrownCount,
013CB8,Drown_Main,
013D10,Drown_Animate,
013D1C,Drown_ChkWater,
013D7E,Drown_Display,
013D92,Drown_Delete,
013D98,Drown_AirLeft,
013DCA,Drown_AirLeft_Delete,
013DD0,Drown_ShowNumber,
013E9C,Drown_Countdown,
01408E,ResumeMusic,
014158,ShieldItem,
01416C,Shi_Main,
0141A4,Shi_Shield,
0141DC,Shi_Stars,
01424E,Shi_Start_Delete,
014254,VanishSonic,
014268,Van_Main,
01429A,Van_RmvSonic,
0142DC,Van_LoadSonic,
0142F0,Splash,
014304,Spla_Main,
01432E,Spla_Display,
014346,Spla_Delete,
0145EE,Sonic_AnglePos,
014750,Sonic_Angle,
01477C,Sonic_WalkVertR,
014818,Sonic_WalkCeiling,
0148BA,Sonic_WalkVertL,
01495C,FindNearestTile,
0149CE,FindFloor,
014A74,FindFloor2,
014B0C,FindWall,
014BB4,FindWall2,
014C4C,ConvertCollisionArray,
014CDE,Sonic_CalcRoomAhead,
014D48,Sonic_CalcHeadroom,
014D70,Sonic_FindFloor,
014DD0,Sonic_FindSmaller,
014DE8,Sonic_FindFloor_Quick_UsePos,
014DF0,Sonic_FindFloor_Quick,
014E0A,Sonic_SnapAngle,
014E18,ObjFloorDist,
014E1C,ObjFloorDist2,
014E50,Sonic_FindWallRight,
014EB4,Sonic_FindWallRight_Quick_UsePos,
014EBC,Sonic_FindWallRight_Quick,
014EDA,ObjHitWallRight,
014F08,Sonic_FindCeiling,
014F74,Sonic_FindCeiling_Quick_UsePos,
014F7C,Sonic_FindCeiling_Quick,
014F9E,ObjHitCeiling,
014FD6,Sonic_FindWallLeft,
015042,Sonic_FindWallLeft_Quick_UsePos,
01504A,Sonic_FindWallLeft_Quick,
01506C,ObjHitWallLeft,
01509A,Junction,
0150B0,Jun_Main,
015120,Jun_Action,
0151B4,Jun_Display,
0151B8,Jun_Release,
015200,Jun_ChkSwitch,
015248,Jun_ChgPos,
0154E2,RunningDisc,
0154F4,Disc_Main,
015564,Disc_Action,
015570,Disc_MoveSonic,
015624,Disc_MoveSpot,
01565E,Disc_ChkDel,
01568E,Conveyor,
0156A0,Conv_Main,
0156CA,Conv_Action,
015730,SpinPlatform,
015744,Spin_Main,
0157C2,Spin_Trapdoor,
01582E,Spin_Spinner,
01597C,Saws,
01598E,Saw_Main,
0159CC,Saw_Action,
015C12,ScrapStomp,
015C38,Sto_Main,
015D0A,Sto_Action,
015FF8,VanishPlatform,
01600E,VanP_Main,
016068,VanP_Sync,
01608C,VanP_Detect,VanP_StoodOn
016146,Electro,
016158,Elec_Main,
016184,Elec_Shock,
01626A,SpinConvey,
016294,SpinC_Display,
0162A8,SpinC_Act1or2,
0162BC,SpinC_Delete,
0162C6,SpinC_Main,
0163B4,SpinC_Loop,
0163D8,SpinC_Solid,
01652A,Girder,
01653C,Gird_Main,
016576,Gird_Action,
0165DE,Gird_ChgMove,
016668,Teleport,
0166A2,Tele_Main,
0166C8,Tele_Action,
01675E,Tele_Bump,
016798,Tele_Bend,
016934,Caterkiller,
016952,Cat_Main,
0169D6,Cat_Loop,
016A40,Cat_Head,
016AAA,Cat_ChkGone,
016AC4,Cat_Delete,
016ACE,Cat_Undulate,
016B02,Cat_Floor,
016B98,Cat_BodySeg2,
016BC0,Cat_AniBody,
016BCA,Cat_BodySeg1,
016CC0,Cat_Fragment,
016E2E,Lamppost,
016E4A,Lamp_Main,
016EAE,Lamp_Blue,
016F92,Lamp_Finish,
016F94,Lamp_Twirl,
016FD2,Lamp_StoreInfo,
01704C,Lamp_LoadInfo,
01715E,HiddenBonus,
017170,Bonus_Main,
01721A,Bonus_Display,
017242,Bonus_Display_Delete,
017264,CreditsText,
017276,Cred_Main,
0172DC,Cred_Display,
017700,BossGreenHill,
01771C,BGHZ_Main,
017728,BGHZ_Loop,
017730,BGHZ_LoadBoss,
01778A,BGHZ_ShipMain,
0177CA,BGHZ_ShipStart,
01782E,BGHZ_ShipFlash,
017860,BossDefeated,
0178A4,BossMove,
0178CA,BGHZ_MakeBall,
01791A,BGHZ_ShipMove,
017944,BGHZ_Reverse,
017954,BGHZ_ChgDir,
01797A,BGHZ_Explode,
0179AC,BGHZ_Recover,
0179F6,BGHZ_Escape,
017A1E,BGHZ_ShipDel,
017A24,BGHZ_FaceMain,
017A6E,BGHZ_FaceDisp,
017A70,BGHZ_FaceDel,
017A76,BGHZ_FlameMain,
017AA2,BGHZ_FlameDisp,
017AA4,BGHZ_FlameDel,
017AAA,BGHZ_Display,
017AE4,BossBall,
017AFC,GBall_Main,
017B28,GBall_MakeLinks,
017B8A,GBall_MakeBall,
017BB8,GBall_Base,
017C06,GBall_Display,
017C1A,GBall_Base2,
017C68,GBall_Link,
017C7E,GBall_Display3,
017C84,GBall_Ball,
017C8E,GBall_Vanish,
017CB6,GBall_Display4,
017E36,BossLabyrinth,
017E52,BossLabyrinth_Main,
017E86,BossLabyrinth_Loop,
017EA0,BossLabyrinth_LoadBoss,
017EDA,BossLabyrinth_ShipMain,
017F1E,BLZ_ShipStart,
017FA0,BLZ_ShipMove1,
017FE0,BLZ_ShipMove2,
01801E,BLZ_ShipMove3,
0180BC,BLZ_ShipAtTop,
0180F6,BLZ_ShipWait,
01812A,BLZ_Escape1,
018152,BLZ_Escape2,
01816A,BossLabyrinth_ShipDel,
018170,BossLabyrinth_FaceMain,
0181B8,BossLabyrinth_FaceDel,
0181BE,BossLabyrinth_FlameMain,
0181F2,BossLabyrinth_FlameDel,
0181F8,BossLabyrinth_Display,
018230,BossMarble,
018254,BossMarble_Main,
018276,BossMarble_Loop,
018290,BossMarble_LoadBoss,
0182C8,BossMarble_ShipMain,
018302,BMZ_ShipStart,
0183AA,BMZ_ShipMove,
0183CA,BMZ_ChgDir,
01840E,BossMarble_MakeLava,
01849E,BMZ_DropFire,
0184F6,BMZ_Explode,
01852C,BMZ_Recover,
018582,BMZ_Escape,
0185AA,BossMarble_ShipDel,
0185B0,BossMarble_FaceMain,
018604,BossMarble_FaceDel,
01860A,BossMarble_FlameMain,
018638,BossMarble_FlameDel,
01863E,BossMarble_Display,
018676,BossMarble_TubeMain,
01869E,BossMarble_TubeDel,
0186A4,BossFire,
0186C0,BossFire_Main,
01871A,BossFire_Action,
018744,BossFire_Delete,
018752,BossFire_Drop,
018782,BossFire_MakeFlame,
0187B6,BossFire_Loop,
0187D0,BossFire_Duplicate2,
0187F0,BossFire_Duplicate,
018832,BossFire_FallEdge,
018880,BossFire_Delete2,
018886,BossFire_TempFire,
0188A0,BossFire_Animate,
0188AC,BossFire_TempFireDel,
0188B2,BossStarLight_Delete,
0188B8,BossStarLight,
0188DC,BossStarLight_Main,
01890A,BossStarLight_Loop,
018924,BossStarLight_LoadBoss,
01897C,BossStarLight_ShipMain,
0189B8,BSLZ_ShipStart,
018A5E,BSLZ_ShipMove,
018AD2,BSLZ_MakeBall,
018B48,BSLZ_Explode,
018B80,BSLZ_Recover,
018BC6,BSLZ_Escape,
018BF0,BossStarLight_FaceMain,
018C34,BossStarLight_FlameMain,
018CA4,BossStarLight_TubeMain,
018CCE,BossSpikeball,
018D10,BossSpikeball_Main,
018D6C,BossSpikeball_Fall,
018DC6,BossSpikeball_Bounce,
018EAA,BossSpikeball_HitBoss,
01902A,BossSpikeball_Explode,
01903C,BossSpikeball_MakeFrag,
019048,BossSpikeball_Loop,
0190B0,BossSpikeball_MoveFrag,
0190EE,BossSpringYard,
019112,BossSpringYard_Main,
019140,BossSpringYard_Loop,
019158,BossSpringYard_LoadBoss,
019190,BossSpringYard_ShipMain,
0191CC,BSYZ_ShipStart,
019270,BSYZ_ShipMove,
0192EC,BSYZ_Attack,
019302,BSYZ_Descend,
019348,BSYZ_Lift,
01938E,BSYZ_LiftStop,
0193D0,BSYZ_BreakBlock,
01944A,BossSpringYard_FindBlocks,
01945A,BossSpringYard_FindLoop,
019474,BSYZ_Explode,
0194AC,BSYZ_Recover,
0194F2,BSYZ_Escape,
01951A,BossSpringYard_ShipDelete,
019520,BossSpringYard_FaceMain,
019540,BossSpringYard_FaceDelete,
019552,BSYZ_Face_Defeat,
019556,BSYZ_Face_Escape,
01955A,BSYZ_Face_Attack,
019570,BSYZ_Face_Attack_Other,
019572,BSYZ_Face_Attack_Lift,
019574,BSYZ_Face_ChkHit,
01958A,BossSpringYard_FlameMain,
0195B8,BossSpringYard_FlameDelete,
0195F6,BossSpringYard_SpikeMain,
01968C,BossSpringYard_SpikeDelete,
019692,BossBlock,
0196A6,BossBlock_Main,
0196B2,BossBlock_Loop,
0196BA,BossBlock_MakeBlock,
019702,BossBlock_ExitLoop,
019704,BossBlock_Action,
019746,BossBlock_Solid,
01975C,BossBlock_Display,
019762,BossBlock_Frag,
019774,BossBlock_Delete,
01977A,BossBlock_Break,
01979C,BossBlock_LoopFrag,
0197A4,BossBlock_MakeFrag,
01982C,FalseFloor_Delete,
019832,ScrapEggman,
01984C,SEgg_Main,
0198F0,SEgg_Eggman,
019916,SEgg_ChkSonic,
019934,SEgg_Move,
01993A,SEgg_PreLeap,
019956,SEgg_Leap,
0199A2,SEgg_FindBlocks,
0199B4,SEgg_FindLoop,
0199D4,SEgg_Switch,
0199E6,SEgg_SwChk,
0199FC,SEgg_SwDisplay,
019B60,FalseFloor,
019B7A,FFloor_Main,
019BAA,FFloor_MakeBlock,
019BF6,FFloor_ExitMake,
019BFC,FFloor_ChkBreak,
019C0C,FFloor_Solid,
019C36,FFloor_Break,
019C60,FFloor_Solid2,
019C62,FFloor_AllGone,
019C72,FFloor_Block,
019C80,FFloor_Frag,
019C94,FFloor_BlockBreak,
019CB6,FFloor_LoopFrag,
019CBE,FFloor_MakeFrag,
019CEA,FFloor_BreakSnd,
019D52,BossFinal_Delete,
019D58,BossFinal,
019DCE,BossFinal_Main,
019DDC,BossFinal_Loop,
019DE4,BossFinal_LoadBoss,
019E6C,BossFinal_Eggman,
019E90,BossFinal_Eggman_Wait,
019EA8,BossFinal_Eggman_Crush,
019FE6,BossFinal_Eggman_Plasma,
01A02A,BossFinal_Eggman_Fall,
01A074,BossFinal_Eggman_Run,
01A112,BossFinal_Eggman_Jump,
01A192,BossFinal_Eggman_Ship,
01A1D4,BossFinal_Eggman_Escape,
01A264,BossFinal_Flame,
01A2C6,BossFinal_Cockpit,
01A346,BossFinal_Legs,
01A38E,BossFinal_Panel,
01A3AC,BossFinal_EmptyShip,
01A448,EggmanCylinder_Delete,
01A44E,EggmanCylinder,
01A472,EggmanCylinder_Main,
01A4CE,EggmanCylinder_Action,
01A57E,EggmanCylinder_Move,
01A598,EggmanCylinder_Bottom,
01A604,EggmanCylinder_Top,
01A7DA,BossPlasma,
01A7F2,BossPlasma_Main,
01A834,BossPlasma_Generator,
01A8AA,BossPlasma_MakeBalls,
01A8CA,BossPlasma_Loop,
01A962,BossPlasma_Finish,
01A982,BossPlasma_Balls,
01A9A6,BossPlasma_Spread,
01A9C0,BossPlasma_Drop,
01AA1E,BossPlasma_Move,
01AB22,Prison,
01AB78,Pri_Main,
01ABC2,Pri_BodyMain,
01ABFE,Pri_Switched,
01AC62,Pri_Explosion,
01ACFA,Pri_Animals,
01AD4A,Pri_EndAct,
01ADE4,ReactToItem,
01AEF4,React_Monitor,
01AF30,React_Enemy,
01AFDA,React_Caterkiller,
01AFE0,React_ChkHurt,
01AFF4,HurtSonic,
01B098,KillSonic,
01B0F0,React_Special,
01B14E,SS_ShowLayout,
01B290,SS_AniWallsRings,
01B4BA,SS_RemoveCollectedItem,
01B4D0,SS_AniItems,
01B508,SS_AniRingSparks,
01B538,SS_AniBumper,
01B56E,SS_Ani1Up,
01B59E,SS_AniReverse,
01B5D4,SS_AniEmeraldSparks,
01B614,SS_AniGlassBlock,
01B67C,SS_Load,
01B694,SS_ChkEmldNum,
01B6AA,SS_ChkEmldLoop,
01B6B2,SS_ChkEmldRepeat,
01B6B6,SS_LoadData,
01B6E2,SS_ClrRAM3,
01B984,SonicSpecial,
01B992,Obj09_Normal,
01B9A8,Obj09_Main,
01B9E4,Obj09_ChkDebug,
01B9F8,Obj09_NoDebug,
01BA20,Obj09_OnWall,
01BA2E,Obj09_InAir,
01BA3A,Obj09_Display,
01BA60,Obj09_Move,
01BA6C,Obj09_ChkRight,
01BAF8,Obj09_MoveLeft,
01BB28,Obj09_MoveRight,
01BB56,Obj09_Jump,
01BB98,Obj09_NoJump,
01BB9A,nullsub_2,
01BBB6,SS_FixCamera,
01BBE0,Obj09_ExitStage,
01BC34,Obj09_Exit2,
01BC56,Obj09_Fall,
01BD52,Obj09_ChkItems,
01BD8C,Obj09_ChkCont,
01BDA0,Obj09_GetCont,
01BDC4,Obj09_NoCont,
01BDC8,Obj09_Chk1Up,
01BDDC,Obj09_Get1Up,
01BDF2,Obj09_ChkEmer,
01BE0C,Obj09_GetEmer,
01BE2A,Obj09_NoEmer,
01BE38,Obj09_ChkGhost,
01BE44,Obj09_ChkGhostTag,
01BE58,Obj09_NoGhost,
01BE5C,Obj09_MakeGhostSolid,
01BE6C,Obj09_GhostLoop2,
01BE6E,Obj09_GhostLoop,
01BE78,Obj09_NoReplace,
01BE86,Obj09_GhostNotSolid,
01BE8E,Obj09_ChkItems2,
01BEAE,Obj09_ChkBumper,
01BF1C,Obj09_BumpSnd,
01BF26,Obj09_GOAL,
01BF3C,Obj09_UPblock,
01BF66,Obj09_UPsnd,
01BF70,Obj09_DOWNblock,
01BF9A,Obj09_DOWNsnd,
01BFA4,Obj09_Rblock,
01BFCC,Obj09_RevStage,
01BFDA,Obj09_ChkGlass,
01BFF2,Obj09_Glass,
01C012,Obj09_GlassUpdate,
01C016,Obj09_GlassSnd,
01C020,Obj09_NoGlass,
01C022,Obj10,
01C024,AnimateLevelGfx,
01C054,AniArt_GHZ,AniArt_GHZ_Waterfall
01C08A,AniArt_GHZ_Bigflower,
01C0C0,AniArt_GHZ_Smallflower,
01C112,AniArt_MZ,AniArt_MZ_Lava
01C150,AniArt_MZ_Magma,
01C1AE,AniArt_MZ_Torch,
01C1EC,AniArt_SBZ,
01C2A2,AniArt_Ending,AniArt_Ending_BigFlower
01C2F4,AniArt_Ending_SmallFlower,
01C33C,AniArt_Ending_Flower3,
01C37A,AniArt_Ending_Flower4,
01C3B6,AniArt_none,
01C3B8,LoadTiles,
01C3EE,AniArt_MZ_Magma_Shift0_Col0,
01C3FA,AniArt_MZ_Magma_Shift1_Col0,
01C410,AniArt_MZ_Magma_Shift2_Col0,
01C41E,AniArt_MZ_Magma_Shift3_Col0,
01C434,AniArt_MZ_Magma_Shift0_Col1,
01C442,AniArt_MZ_Magma_Shift1_Col1,
01C458,AniArt_MZ_Magma_Shift2_Col1,
01C466,AniArt_MZ_Magma_Shift3_Col1,
01C47C,AniArt_MZ_Magma_Shift0_Col2,
01C48A,AniArt_MZ_Magma_Shift1_Col2,
01C4A0,AniArt_MZ_Magma_Shift2_Col2,
01C4AE,AniArt_MZ_Magma_Shift3_Col2,
01C4C4,AniArt_MZ_Magma_Shift0_Col3,
01C4D2,AniArt_MZ_Magma_Shift1_Col3,
01C4E8,AniArt_MZ_Magma_Shift2_Col3,
01C510,AniArt_GiantRing,
01C548,HUD,
01C55A,HUD_Main,
01C584,HUD_Flash,
01C68C,AddPoints,
01C6B8,HUD_Update,
01C78C,TimeOver,
01C7A2,HudDebug,
01C80E,Hud_LoadZero,
01C822,Hud_Base,
01C87A,HudDb_XY,
01C89A,HudDb_XY2,
01C8A2,HudDb_XYLoop,
01C8D0,Hud_Rings,
01C8DA,Hud_Score,
01C8E2,Hud_LoadArt,
01C8E8,Hud_ScoreLoop,
01C938,ContScrCounter,
01C956,ContScr_Loop,
01C9A8,Hud_Mins,
01C9B2,Hud_Secs,
01C9BA,Hud_DrawDigits,
01C9C0,Hud_TimeLoop,
01CA0C,Hud_TimeRingBonus,
01CA1A,Hud_BonusLoop,
01CA60,Hud_ClrBonus,
01CA62,Hud_ClrBonusLoop,
01CA6E,Hud_Lives,
01CA88,Hud_LivesLoop,
01CAC8,Hud_ClrLives,
01CACE,Hud_ClrLivesLoop,
01CF1A,DebugMode,
01CF2C,Debug_Main,
01CFAE,Debug_Action,
01CFD6,Debug_Control,
01D06E,Debug_ChgItem,
01D152,Debug_ShowItem,
071B4C,UpdateMusic,
071C44,DoStartZ80,
071C4E,DACUpdateTrack,
071CCA,FMUpdateTrack,
071CEC,FMDoNext,
071D22,FMSetFreq,
071D40,SetDuration,
071D58,TrackSetRest,
071D60,FinishTrackUpdate,
071D9E,NoteTimeoutUpdate,
071DC6,DoModulation,
071E18,FMPrepareNote,
071E24,FMUpdateFreq,
071E4A,FMSetRest,
071E50,PauseMusic,
071F02,CycleSoundQueue,
071F4C,PlaySoundID,
071F8E,Sound_E0toE4,
071FAC,PlaySegaSound,
071FD2,Sound_PlayBGM,
0721C6,Sound_PlaySFX,
07230C,Sound_PlaySpecial,
07247C,StopSpecialSFX,
0724E6,FadeOutMusic,
072504,DoFadeOut,
07256A,FMSilenceAll,
07259E,StopAllSound,
0725CA,InitMusicPlayback,
07260C,TempoWait,
072624,SpeedUpMusic,
072652,SlowDownMusic,
07267C,DoFadeIn,
0726E2,FMNoteOn,
0726FE,FMNoteOff,
07270A,SendFMNoteOff,
072716,WriteFMIorIIMain,
072722,WriteFMIorII,
07272E,WriteFMI,
07275A,WriteFMIIPart,
072764,WriteFMII,
072850,PSGUpdateTrack,
072878,PSGDoNext,
0728AC,PSGSetFreq,
0728DC,PSGDoNoteOn,
0728E2,PSGUpdateFreq,
072920,PSGSetRest,
072926,PSGUpdateVolFX,
07292E,PSGDoVolFX,
07296A,SetPSGVolume,
07297C,PSGSendVolume,
07298C,PSGCheckNoteTimeout,
07299A,VolEnvHold,
0729A0,PSGNoteOff,
0729A6,SendPSGNoteOff,
0729B6,PSGSilenceAll,
072A5A,CoordFlag,
072A64,coordflagLookup,
072ACC,cfPanningAMSFMS,
072AEC,cfDetune,
072AF2,cfSetCommunication,
072AF8,cfJumpReturn,
072B14,cfFadeInToPrevious,
072B9E,cfSetTempoDivider,
072BA4,cfChangeFMVolume,
072BAE,cfHoldNote,
072BB4,cfNoteTimeout,
072BBE,cfChangeTransposition,
072BC6,cfSetTempo,
072BD0,cfSetTempoDividerAll,
072BE6,cfChangePSGVolume,
072BEE,cfClearPush,
072BF4,cfStopSpecialFM4,
072C26,cfSetVoice,
072C4E,SetVoice,
072CB4,SendVoiceTL,
072D30,cfModulation,
072D52,cfEnableModulation,
072D58,cfStopTrack,
072E06,cfSetPSGNoise,
072E20,cfDisableModulation,
072E26,cfSetPSGTone,
072E2C,cfJumpTo,
072E38,cfRepeatAtPos,
072E52,cfJumpToGosub,
072E64,cfOpF9,
