# Verified stock disassembly; regenerate with tools/sonic_disassembly.py
00192A,Eni_Decomp_110,
001938,Eni_Decomp_111,
00194A,Eni_Decomp_Index,
00195A,Eni_Decomp_Done,
001972,Eni_Decomp_FetchInlineValue,
001A22,Eni_Decomp_FetchByte,
001A32,Kos_Decomp,
001A3E,Kos_Decomp_Loop,
001A50,Kos_Decomp_ChkBit,
001A58,Kos_Decomp_Match,
001A6C,Kos_Decomp_ChkBit2,
001A9C,Kos_Decomp_FullMatch,
001AB2,Kos_Decomp_MatchLoop,
001ABE,Kos_Decomp_FullMatch2,
001ACE,Kos_Decomp_Done,
001AD2,Queue_Kos_Module,
001AEA,Process_Kos_Module_Queue_Init,
001B28,Process_Kos_Module_Queue,
001BD8,Queue_Kos,
001BF0,Set_Kos_Bookmark,
001C02,zPalFlag,
001C0A,zMusicNumber,
001C10,zPauseFlag,
001C18,unk_1C18,
001C1A,Process_Kos_Queue,
001C26,Process_Kos_Queue_Main,zContinuousSFXFlag
001C2C,zCurrentTempoSave,
001C30,zDACIndex,
001C3E,zSongBank,
001C40,zTracksStart,
001C42,Process_Kos_Queue_Loop,
001C54,Process_Kos_Queue_ChkBit,
001C5C,Process_Kos_Queue_RLE,
001C70,Process_Kos_Queue_ChkBit2,
001CA0,Process_Kos_Queue_SeparateRLE,
001CB6,Process_Kos_Queue_RLELoop,
001CC2,Process_Kos_Queue_SeparateRLE2,
001CD2,Process_Kos_Queue_EndReached,
001CFA,Process_Kos_Queue_Done,
001CFC,Restore_Kos_Bookmark,
001D0C,Backup_Kos_Registers,
001D18,Wait_VSync,
001D24,Random_Number,
001D4C,GetSineCosine,
001FE4,GetArcTan,
002036,GetArcTan_Zero,
002142,AnPal_Load,
0021BC,AnPal_None,
0021BE,AnPal_AIZ1,
00227C,AnPal_AIZ2,
002334,AnPal_HCZ1,
002382,AnPal_HCZ2,
002384,AnPal_CNZ,
002440,AnPal_FBZ,
00244E,AnPal_ICZ,
002508,AnPal_LBZ1,
002510,AnPal_LBZ2,
002546,AnPal_SOZ1,
002598,AnPal_SOZ2,
